title,url,tags
0to255 (for color palettes),https://0to255.com/,scicom
A comparison of single-cell trajectory inference methods (Saelens 2019),https://www.nature.com/articles/s41587-019-0071-9,methods|single-cell|review
A survey of the approaches for identifying differential methylation using bisulfite sequencing data (Shafi 2018),https://pmc.ncbi.nlm.nih.gov/articles/PMC6171488/,methylation|review
A technical review of multi-omics data integration methods: from classical statistical to deep generative approaches (Baiao 2025),https://academic.oup.com/bib/article/26/4/bbaf355/8220754,methods|multiomics|review
Advanced R (Hadley Wickham),https://adv-r.hadley.nz/,coding|educational|R
Analysis methods for studying the 3D architecture of the genome (Ay 2015),https://link.springer.com/article/10.1186/s13059-015-0745-7,3D-genome|review
Assessment of computational methods for the analysis of single-cell ATAC-seq data (Chen 2019),https://link.springer.com/article/10.1186/s13059-019-1854-5,atac|methods|review
Benefits and limitations of genome-wide association studies (Tam 2019),https://www.nature.com/articles/s41576-019-0127-1,genetics|review
Beyond the baseline: mapping the context-specific regulatory landscape of disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC12991421/,genetics|methods|QTL|review
Broad Research Communication Lab (esp. see poster and presentation design),https://mitcommlab.mit.edu/broad/use-the-commkit/,academia|career|scicom
Building and sustaining mentor interactions as a mentee (Sarabipour 2022),https://pmc.ncbi.nlm.nih.gov/articles/PMC8490489/,career|mentorship
Career advice (Terry Tao),https://terrytao.wordpress.com/career-advice/,academia|career|mentorship
Computational methods for analysing multiscale 3D genome organization (Zhang 2023),https://www.nature.com/articles/s41576-023-00638-1,3D-genome|review
Computational Methods for Single-Cell DNA Methylome Analysis (Iqbal 2022),https://academic.oup.com/gpb/article/21/1/48/7274167,methods|methylation|review
Current and future directions in network biology (Zitnik 2024),https://pmc.ncbi.nlm.nih.gov/articles/PMC11321866/,methods|review
"Data wrangling, exploration, and analysis with R (Jenny Brian, STAT 545)",https://stat545.com/,coding|educational|R
Deep learning predicts DNA methylation regulatory variants in specific brain cell types and enhances fine mapping for brain disorders (Zhou 2025),https://www.science.org/doi/10.1126/sciadv.adn1870,article|deep-learning|methylation|neuroscience|QTL
